id,category,input_text,sentiment_label,summary,generated_reference
492,customer_service,My experience with the delivery service was hated it.,negative,Negative feedback about delivery service.,The delivery service was hated it based on the user's experience.
493,healthcare,My experience with the fitness tracker was terrible.,negative,Negative feedback about fitness tracker.,The fitness tracker was terrible based on the user's experience.
494,entertainment,My experience with the Netflix series was bad.,negative,Negative feedback about Netflix series.,The Netflix series was bad based on the user's experience.
495,technology,My experience with the AI chatbot was annoying.,negative,Negative feedback about AI chatbot.,The AI chatbot was annoying based on the user's experience.
496,entertainment,My experience with the new Marvel movie was decent.,neutral,Neutral feedback about new Marvel movie.,The new Marvel movie was decent based on the user's experience.
497,technology,My experience with the quantum computer was not bad.,neutral,Neutral feedback about quantum computer.,The quantum computer was not bad based on the user's experience.
498,entertainment,My experience with the Netflix series was fantastic.,positive,Positive feedback about Netflix series.,The Netflix series was fantastic based on the user's experience.
499,customer_service,My experience with the restaurant service was awesome.,positive,Positive feedback about restaurant service.,The restaurant service was awesome based on the user's experience.
500,entertainment,My experience with the stand-up comedy was not worth it.,negative,Negative feedback about stand-up comedy.,The stand-up comedy was not worth it based on the user's experience.
501,customer_service,My experience with the delivery service was fantastic.,positive,Positive feedback about delivery service.,The delivery service was fantastic based on the user's experience.
502,entertainment,My experience with the live concert was amazing.,positive,Positive feedback about live concert.,The live concert was amazing based on the user's experience.
503,technology,My experience with the self-driving car was normal.,neutral,Neutral feedback about self-driving car.,The self-driving car was normal based on the user's experience.
504,education,My experience with the MOOC was average.,neutral,Neutral feedback about MOOC.,The MOOC was average based on the user's experience.
505,entertainment,My experience with the Netflix series was fantastic.,positive,Positive feedback about Netflix series.,The Netflix series was fantastic based on the user's experience.
506,food,My experience with the Pasta was terrible.,negative,Negative feedback about Pasta.,The Pasta was terrible based on the user's experience.
507,education,My experience with the university program was superb.,positive,Positive feedback about university program.,The university program was superb based on the user's experience.
508,technology,My experience with the AI chatbot was awful.,negative,Negative feedback about AI chatbot.,The AI chatbot was awful based on the user's experience.
509,food,My experience with the Sushi was not worth it.,negative,Negative feedback about Sushi.,The Sushi was not worth it based on the user's experience.
510,technology,My experience with the AI chatbot was loved it.,positive,Positive feedback about AI chatbot.,The AI chatbot was loved it based on the user's experience.
511,entertainment,My experience with the video game was great.,positive,Positive feedback about video game.,The video game was great based on the user's experience.
512,education,My experience with the university program was great.,positive,Positive feedback about university program.,The university program was great based on the user's experience.
513,education,My experience with the online course was okay.,neutral,Neutral feedback about online course.,The online course was okay based on the user's experience.
514,food,My experience with the Sushi was normal.,neutral,Neutral feedback about Sushi.,The Sushi was normal based on the user's experience.
515,food,My experience with the Burger was awesome.,positive,Positive feedback about Burger.,The Burger was awesome based on the user's experience.
516,education,My experience with the textbook was amazing.,positive,Positive feedback about textbook.,The textbook was amazing based on the user's experience.
517,entertainment,My experience with the Netflix series was disappointing.,negative,Negative feedback about Netflix series.,The Netflix series was disappointing based on the user's experience.
518,entertainment,My experience with the live concert was disappointing.,negative,Negative feedback about live concert.,The live concert was disappointing based on the user's experience.
519,education,My experience with the MOOC was satisfying.,positive,Positive feedback about MOOC.,The MOOC was satisfying based on the user's experience.
520,technology,My experience with the blockchain technology was awesome.,positive,Positive feedback about blockchain technology.,The blockchain technology was awesome based on the user's experience.
521,customer_service,My experience with the hotel staff was awful.,negative,Negative feedback about hotel staff.,The hotel staff was awful based on the user's experience.
522,customer_service,My experience with the online support was satisfying.,positive,Positive feedback about online support.,The online support was satisfying based on the user's experience.
523,healthcare,My experience with the fitness tracker was great.,positive,Positive feedback about fitness tracker.,The fitness tracker was great based on the user's experience.
524,education,My experience with the university program was acceptable.,neutral,Neutral feedback about university program.,The university program was acceptable based on the user's experience.
525,healthcare,My experience with the medical app was fantastic.,positive,Positive feedback about medical app.,The medical app was fantastic based on the user's experience.
526,customer_service,My experience with the restaurant service was hated it.,negative,Negative feedback about restaurant service.,The restaurant service was hated it based on the user's experience.
527,customer_service,My experience with the hotel staff was annoying.,negative,Negative feedback about hotel staff.,The hotel staff was annoying based on the user's experience.
528,healthcare,My experience with the telemedicine was not worth it.,negative,Negative feedback about telemedicine.,The telemedicine was not worth it based on the user's experience.
529,entertainment,My experience with the live concert was disappointing.,negative,Negative feedback about live concert.,The live concert was disappointing based on the user's experience.
530,food,My experience with the Pasta was awesome.,positive,Positive feedback about Pasta.,The Pasta was awesome based on the user's experience.
531,technology,My experience with the self-driving car was superb.,positive,Positive feedback about self-driving car.,The self-driving car was superb based on the user's experience.
532,technology,My experience with the self-driving car was boring.,negative,Negative feedback about self-driving car.,The self-driving car was boring based on the user's experience.
533,customer_service,My experience with the call center was great.,positive,Positive feedback about call center.,The call center was great based on the user's experience.
534,technology,My experience with the iPhone 15 was normal.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was normal based on the user's experience.
535,education,My experience with the textbook was mediocre.,neutral,Neutral feedback about textbook.,The textbook was mediocre based on the user's experience.
536,entertainment,My experience with the new Marvel movie was annoying.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was annoying based on the user's experience.
537,customer_service,My experience with the hotel staff was not worth it.,negative,Negative feedback about hotel staff.,The hotel staff was not worth it based on the user's experience.
538,healthcare,My experience with the diet plan was mediocre.,neutral,Neutral feedback about diet plan.,The diet plan was mediocre based on the user's experience.
539,customer_service,My experience with the restaurant service was not worth it.,negative,Negative feedback about restaurant service.,The restaurant service was not worth it based on the user's experience.
540,healthcare,My experience with the diet plan was awesome.,positive,Positive feedback about diet plan.,The diet plan was awesome based on the user's experience.
541,food,My experience with the Burger was hated it.,negative,Negative feedback about Burger.,The Burger was hated it based on the user's experience.
542,entertainment,My experience with the stand-up comedy was fine.,neutral,Neutral feedback about stand-up comedy.,The stand-up comedy was fine based on the user's experience.
543,customer_service,My experience with the restaurant service was boring.,negative,Negative feedback about restaurant service.,The restaurant service was boring based on the user's experience.
544,healthcare,My experience with the hospital experience was great.,positive,Positive feedback about hospital experience.,The hospital experience was great based on the user's experience.
545,healthcare,My experience with the medical app was boring.,negative,Negative feedback about medical app.,The medical app was boring based on the user's experience.
546,technology,My experience with the iPhone 15 was average.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was average based on the user's experience.
547,customer_service,My experience with the online support was okay.,neutral,Neutral feedback about online support.,The online support was okay based on the user's experience.
548,food,My experience with the Vegan meal was decent.,neutral,Neutral feedback about Vegan meal.,The Vegan meal was decent based on the user's experience.
549,education,My experience with the MOOC was loved it.,positive,Positive feedback about MOOC.,The MOOC was loved it based on the user's experience.
550,healthcare,My experience with the fitness tracker was decent.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was decent based on the user's experience.
551,technology,My experience with the quantum computer was superb.,positive,Positive feedback about quantum computer.,The quantum computer was superb based on the user's experience.
552,customer_service,My experience with the hotel staff was average.,neutral,Neutral feedback about hotel staff.,The hotel staff was average based on the user's experience.
553,healthcare,My experience with the telemedicine was acceptable.,neutral,Neutral feedback about telemedicine.,The telemedicine was acceptable based on the user's experience.
554,technology,My experience with the iPhone 15 was mediocre.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was mediocre based on the user's experience.
555,technology,My experience with the iPhone 15 was satisfying.,positive,Positive feedback about iPhone 15.,The iPhone 15 was satisfying based on the user's experience.
556,entertainment,My experience with the new Marvel movie was boring.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was boring based on the user's experience.
557,healthcare,My experience with the hospital experience was not bad.,neutral,Neutral feedback about hospital experience.,The hospital experience was not bad based on the user's experience.
558,entertainment,My experience with the Netflix series was okay.,neutral,Neutral feedback about Netflix series.,The Netflix series was okay based on the user's experience.
559,entertainment,My experience with the stand-up comedy was average.,neutral,Neutral feedback about stand-up comedy.,The stand-up comedy was average based on the user's experience.
560,education,My experience with the online course was decent.,neutral,Neutral feedback about online course.,The online course was decent based on the user's experience.
561,customer_service,My experience with the restaurant service was great.,positive,Positive feedback about restaurant service.,The restaurant service was great based on the user's experience.
562,food,My experience with the Pizza was mediocre.,neutral,Neutral feedback about Pizza.,The Pizza was mediocre based on the user's experience.
563,technology,My experience with the AI chatbot was acceptable.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was acceptable based on the user's experience.
564,education,My experience with the coding bootcamp was bad.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was bad based on the user's experience.
565,food,My experience with the Vegan meal was superb.,positive,Positive feedback about Vegan meal.,The Vegan meal was superb based on the user's experience.
566,food,My experience with the Pasta was terrible.,negative,Negative feedback about Pasta.,The Pasta was terrible based on the user's experience.
567,entertainment,My experience with the video game was not worth it.,negative,Negative feedback about video game.,The video game was not worth it based on the user's experience.
568,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
569,customer_service,My experience with the restaurant service was superb.,positive,Positive feedback about restaurant service.,The restaurant service was superb based on the user's experience.
570,entertainment,My experience with the new Marvel movie was boring.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was boring based on the user's experience.
571,food,My experience with the Vegan meal was awful.,negative,Negative feedback about Vegan meal.,The Vegan meal was awful based on the user's experience.
572,healthcare,My experience with the telemedicine was annoying.,negative,Negative feedback about telemedicine.,The telemedicine was annoying based on the user's experience.
573,food,My experience with the Pasta was disappointing.,negative,Negative feedback about Pasta.,The Pasta was disappointing based on the user's experience.
574,healthcare,My experience with the fitness tracker was loved it.,positive,Positive feedback about fitness tracker.,The fitness tracker was loved it based on the user's experience.
575,customer_service,My experience with the online support was boring.,negative,Negative feedback about online support.,The online support was boring based on the user's experience.
576,customer_service,My experience with the hotel staff was awesome.,positive,Positive feedback about hotel staff.,The hotel staff was awesome based on the user's experience.
577,technology,My experience with the blockchain technology was hated it.,negative,Negative feedback about blockchain technology.,The blockchain technology was hated it based on the user's experience.
578,technology,My experience with the iPhone 15 was superb.,positive,Positive feedback about iPhone 15.,The iPhone 15 was superb based on the user's experience.
579,education,My experience with the university program was hated it.,negative,Negative feedback about university program.,The university program was hated it based on the user's experience.
580,food,My experience with the Burger was not bad.,neutral,Neutral feedback about Burger.,The Burger was not bad based on the user's experience.
581,technology,My experience with the quantum computer was boring.,negative,Negative feedback about quantum computer.,The quantum computer was boring based on the user's experience.
582,technology,My experience with the AI chatbot was normal.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was normal based on the user's experience.
583,healthcare,My experience with the medical app was normal.,neutral,Neutral feedback about medical app.,The medical app was normal based on the user's experience.
584,customer_service,My experience with the delivery service was normal.,neutral,Neutral feedback about delivery service.,The delivery service was normal based on the user's experience.
585,entertainment,My experience with the video game was okay.,neutral,Neutral feedback about video game.,The video game was okay based on the user's experience.
586,entertainment,My experience with the new Marvel movie was annoying.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was annoying based on the user's experience.
587,food,My experience with the Vegan meal was disappointing.,negative,Negative feedback about Vegan meal.,The Vegan meal was disappointing based on the user's experience.
588,food,My experience with the Sushi was amazing.,positive,Positive feedback about Sushi.,The Sushi was amazing based on the user's experience.
589,education,My experience with the coding bootcamp was bad.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was bad based on the user's experience.
590,entertainment,My experience with the new Marvel movie was awesome.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was awesome based on the user's experience.
591,customer_service,My experience with the online support was acceptable.,neutral,Neutral feedback about online support.,The online support was acceptable based on the user's experience.
592,entertainment,My experience with the new Marvel movie was superb.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was superb based on the user's experience.
593,healthcare,My experience with the telemedicine was decent.,neutral,Neutral feedback about telemedicine.,The telemedicine was decent based on the user's experience.
594,food,My experience with the Sushi was terrible.,negative,Negative feedback about Sushi.,The Sushi was terrible based on the user's experience.
595,technology,My experience with the AI chatbot was normal.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was normal based on the user's experience.
596,customer_service,My experience with the call center was loved it.,positive,Positive feedback about call center.,The call center was loved it based on the user's experience.
597,healthcare,My experience with the fitness tracker was superb.,positive,Positive feedback about fitness tracker.,The fitness tracker was superb based on the user's experience.
598,food,My experience with the Sushi was disappointing.,negative,Negative feedback about Sushi.,The Sushi was disappointing based on the user's experience.
599,entertainment,My experience with the live concert was loved it.,positive,Positive feedback about live concert.,The live concert was loved it based on the user's experience.
600,customer_service,My experience with the hotel staff was terrible.,negative,Negative feedback about hotel staff.,The hotel staff was terrible based on the user's experience.
601,education,My experience with the coding bootcamp was loved it.,positive,Positive feedback about coding bootcamp.,The coding bootcamp was loved it based on the user's experience.
602,education,My experience with the university program was awful.,negative,Negative feedback about university program.,The university program was awful based on the user's experience.
603,education,My experience with the MOOC was mediocre.,neutral,Neutral feedback about MOOC.,The MOOC was mediocre based on the user's experience.
604,entertainment,My experience with the live concert was acceptable.,neutral,Neutral feedback about live concert.,The live concert was acceptable based on the user's experience.
605,food,My experience with the Burger was okay.,neutral,Neutral feedback about Burger.,The Burger was okay based on the user's experience.
606,technology,My experience with the AI chatbot was normal.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was normal based on the user's experience.
607,technology,My experience with the iPhone 15 was awesome.,positive,Positive feedback about iPhone 15.,The iPhone 15 was awesome based on the user's experience.
608,entertainment,My experience with the stand-up comedy was normal.,neutral,Neutral feedback about stand-up comedy.,The stand-up comedy was normal based on the user's experience.
609,technology,My experience with the iPhone 15 was decent.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was decent based on the user's experience.
610,education,My experience with the textbook was decent.,neutral,Neutral feedback about textbook.,The textbook was decent based on the user's experience.
611,healthcare,My experience with the telemedicine was normal.,neutral,Neutral feedback about telemedicine.,The telemedicine was normal based on the user's experience.
612,technology,My experience with the iPhone 15 was fine.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was fine based on the user's experience.
613,food,My experience with the Burger was average.,neutral,Neutral feedback about Burger.,The Burger was average based on the user's experience.
614,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
615,customer_service,My experience with the restaurant service was fine.,neutral,Neutral feedback about restaurant service.,The restaurant service was fine based on the user's experience.
616,technology,My experience with the AI chatbot was hated it.,negative,Negative feedback about AI chatbot.,The AI chatbot was hated it based on the user's experience.
617,customer_service,My experience with the online support was acceptable.,neutral,Neutral feedback about online support.,The online support was acceptable based on the user's experience.
618,healthcare,My experience with the telemedicine was superb.,positive,Positive feedback about telemedicine.,The telemedicine was superb based on the user's experience.
619,technology,My experience with the iPhone 15 was hated it.,negative,Negative feedback about iPhone 15.,The iPhone 15 was hated it based on the user's experience.
620,customer_service,My experience with the hotel staff was terrible.,negative,Negative feedback about hotel staff.,The hotel staff was terrible based on the user's experience.
621,technology,My experience with the iPhone 15 was annoying.,negative,Negative feedback about iPhone 15.,The iPhone 15 was annoying based on the user's experience.
622,customer_service,My experience with the call center was disappointing.,negative,Negative feedback about call center.,The call center was disappointing based on the user's experience.
623,customer_service,My experience with the delivery service was average.,neutral,Neutral feedback about delivery service.,The delivery service was average based on the user's experience.
624,food,My experience with the Burger was loved it.,positive,Positive feedback about Burger.,The Burger was loved it based on the user's experience.
625,customer_service,My experience with the delivery service was normal.,neutral,Neutral feedback about delivery service.,The delivery service was normal based on the user's experience.
626,education,My experience with the online course was awful.,negative,Negative feedback about online course.,The online course was awful based on the user's experience.
627,customer_service,My experience with the delivery service was fantastic.,positive,Positive feedback about delivery service.,The delivery service was fantastic based on the user's experience.
628,customer_service,My experience with the online support was hated it.,negative,Negative feedback about online support.,The online support was hated it based on the user's experience.
629,technology,My experience with the iPhone 15 was enjoyed it.,positive,Positive feedback about iPhone 15.,The iPhone 15 was enjoyed it based on the user's experience.
630,entertainment,My experience with the video game was okay.,neutral,Neutral feedback about video game.,The video game was okay based on the user's experience.
631,customer_service,My experience with the online support was acceptable.,neutral,Neutral feedback about online support.,The online support was acceptable based on the user's experience.
632,entertainment,My experience with the live concert was not worth it.,negative,Negative feedback about live concert.,The live concert was not worth it based on the user's experience.
633,education,My experience with the MOOC was amazing.,positive,Positive feedback about MOOC.,The MOOC was amazing based on the user's experience.
634,entertainment,My experience with the video game was great.,positive,Positive feedback about video game.,The video game was great based on the user's experience.
635,entertainment,My experience with the live concert was amazing.,positive,Positive feedback about live concert.,The live concert was amazing based on the user's experience.
636,technology,My experience with the iPhone 15 was disappointing.,negative,Negative feedback about iPhone 15.,The iPhone 15 was disappointing based on the user's experience.
637,customer_service,My experience with the online support was satisfying.,positive,Positive feedback about online support.,The online support was satisfying based on the user's experience.
638,customer_service,My experience with the online support was awful.,negative,Negative feedback about online support.,The online support was awful based on the user's experience.
639,education,My experience with the coding bootcamp was enjoyed it.,positive,Positive feedback about coding bootcamp.,The coding bootcamp was enjoyed it based on the user's experience.
640,education,My experience with the textbook was satisfying.,positive,Positive feedback about textbook.,The textbook was satisfying based on the user's experience.
641,entertainment,My experience with the stand-up comedy was not bad.,neutral,Neutral feedback about stand-up comedy.,The stand-up comedy was not bad based on the user's experience.
642,technology,My experience with the AI chatbot was average.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was average based on the user's experience.
643,education,My experience with the coding bootcamp was terrible.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was terrible based on the user's experience.
644,technology,My experience with the self-driving car was bad.,negative,Negative feedback about self-driving car.,The self-driving car was bad based on the user's experience.
645,customer_service,My experience with the call center was average.,neutral,Neutral feedback about call center.,The call center was average based on the user's experience.
646,education,My experience with the coding bootcamp was acceptable.,neutral,Neutral feedback about coding bootcamp.,The coding bootcamp was acceptable based on the user's experience.
647,customer_service,My experience with the call center was terrible.,negative,Negative feedback about call center.,The call center was terrible based on the user's experience.
648,technology,My experience with the blockchain technology was mediocre.,neutral,Neutral feedback about blockchain technology.,The blockchain technology was mediocre based on the user's experience.
649,entertainment,My experience with the live concert was amazing.,positive,Positive feedback about live concert.,The live concert was amazing based on the user's experience.
650,education,My experience with the coding bootcamp was terrible.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was terrible based on the user's experience.
651,customer_service,My experience with the hotel staff was boring.,negative,Negative feedback about hotel staff.,The hotel staff was boring based on the user's experience.
652,entertainment,My experience with the live concert was great.,positive,Positive feedback about live concert.,The live concert was great based on the user's experience.
653,food,My experience with the Burger was amazing.,positive,Positive feedback about Burger.,The Burger was amazing based on the user's experience.
654,food,My experience with the Pasta was superb.,positive,Positive feedback about Pasta.,The Pasta was superb based on the user's experience.
655,customer_service,My experience with the online support was great.,positive,Positive feedback about online support.,The online support was great based on the user's experience.
656,healthcare,My experience with the fitness tracker was fantastic.,positive,Positive feedback about fitness tracker.,The fitness tracker was fantastic based on the user's experience.
657,healthcare,My experience with the medical app was great.,positive,Positive feedback about medical app.,The medical app was great based on the user's experience.
658,education,My experience with the textbook was great.,positive,Positive feedback about textbook.,The textbook was great based on the user's experience.
659,technology,My experience with the self-driving car was fine.,neutral,Neutral feedback about self-driving car.,The self-driving car was fine based on the user's experience.
660,entertainment,My experience with the Netflix series was awful.,negative,Negative feedback about Netflix series.,The Netflix series was awful based on the user's experience.
661,education,My experience with the MOOC was not bad.,neutral,Neutral feedback about MOOC.,The MOOC was not bad based on the user's experience.
662,technology,My experience with the quantum computer was amazing.,positive,Positive feedback about quantum computer.,The quantum computer was amazing based on the user's experience.
663,technology,My experience with the iPhone 15 was not worth it.,negative,Negative feedback about iPhone 15.,The iPhone 15 was not worth it based on the user's experience.
664,healthcare,My experience with the fitness tracker was amazing.,positive,Positive feedback about fitness tracker.,The fitness tracker was amazing based on the user's experience.
665,education,My experience with the MOOC was mediocre.,neutral,Neutral feedback about MOOC.,The MOOC was mediocre based on the user's experience.
666,technology,My experience with the blockchain technology was boring.,negative,Negative feedback about blockchain technology.,The blockchain technology was boring based on the user's experience.
667,healthcare,My experience with the fitness tracker was awesome.,positive,Positive feedback about fitness tracker.,The fitness tracker was awesome based on the user's experience.
668,entertainment,My experience with the live concert was normal.,neutral,Neutral feedback about live concert.,The live concert was normal based on the user's experience.
669,healthcare,My experience with the medical app was loved it.,positive,Positive feedback about medical app.,The medical app was loved it based on the user's experience.
670,technology,My experience with the blockchain technology was loved it.,positive,Positive feedback about blockchain technology.,The blockchain technology was loved it based on the user's experience.
671,education,My experience with the textbook was decent.,neutral,Neutral feedback about textbook.,The textbook was decent based on the user's experience.
672,entertainment,My experience with the new Marvel movie was loved it.,positive,Positive feedback about new Marvel movie.,The new Marvel movie was loved it based on the user's experience.
673,healthcare,My experience with the medical app was amazing.,positive,Positive feedback about medical app.,The medical app was amazing based on the user's experience.
674,education,My experience with the online course was acceptable.,neutral,Neutral feedback about online course.,The online course was acceptable based on the user's experience.
675,healthcare,My experience with the fitness tracker was disappointing.,negative,Negative feedback about fitness tracker.,The fitness tracker was disappointing based on the user's experience.
676,education,My experience with the textbook was fantastic.,positive,Positive feedback about textbook.,The textbook was fantastic based on the user's experience.
677,entertainment,My experience with the new Marvel movie was bad.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was bad based on the user's experience.
678,technology,My experience with the AI chatbot was awesome.,positive,Positive feedback about AI chatbot.,The AI chatbot was awesome based on the user's experience.
679,education,My experience with the online course was average.,neutral,Neutral feedback about online course.,The online course was average based on the user's experience.
680,education,My experience with the MOOC was boring.,negative,Negative feedback about MOOC.,The MOOC was boring based on the user's experience.
681,education,My experience with the coding bootcamp was enjoyed it.,positive,Positive feedback about coding bootcamp.,The coding bootcamp was enjoyed it based on the user's experience.
682,food,My experience with the Pasta was amazing.,positive,Positive feedback about Pasta.,The Pasta was amazing based on the user's experience.
683,education,My experience with the textbook was terrible.,negative,Negative feedback about textbook.,The textbook was terrible based on the user's experience.
684,food,My experience with the Burger was fantastic.,positive,Positive feedback about Burger.,The Burger was fantastic based on the user's experience.
685,healthcare,My experience with the telemedicine was hated it.,negative,Negative feedback about telemedicine.,The telemedicine was hated it based on the user's experience.
686,healthcare,My experience with the hospital experience was mediocre.,neutral,Neutral feedback about hospital experience.,The hospital experience was mediocre based on the user's experience.
687,healthcare,My experience with the telemedicine was great.,positive,Positive feedback about telemedicine.,The telemedicine was great based on the user's experience.
688,customer_service,My experience with the online support was acceptable.,neutral,Neutral feedback about online support.,The online support was acceptable based on the user's experience.
689,customer_service,My experience with the hotel staff was fine.,neutral,Neutral feedback about hotel staff.,The hotel staff was fine based on the user's experience.
690,food,My experience with the Sushi was not bad.,neutral,Neutral feedback about Sushi.,The Sushi was not bad based on the user's experience.
691,education,My experience with the university program was amazing.,positive,Positive feedback about university program.,The university program was amazing based on the user's experience.
692,entertainment,My experience with the Netflix series was terrible.,negative,Negative feedback about Netflix series.,The Netflix series was terrible based on the user's experience.
693,healthcare,My experience with the hospital experience was hated it.,negative,Negative feedback about hospital experience.,The hospital experience was hated it based on the user's experience.
694,food,My experience with the Sushi was annoying.,negative,Negative feedback about Sushi.,The Sushi was annoying based on the user's experience.
695,education,My experience with the online course was mediocre.,neutral,Neutral feedback about online course.,The online course was mediocre based on the user's experience.
696,technology,My experience with the blockchain technology was loved it.,positive,Positive feedback about blockchain technology.,The blockchain technology was loved it based on the user's experience.
697,education,My experience with the university program was not bad.,neutral,Neutral feedback about university program.,The university program was not bad based on the user's experience.
698,food,My experience with the Pizza was amazing.,positive,Positive feedback about Pizza.,The Pizza was amazing based on the user's experience.
699,technology,My experience with the blockchain technology was awful.,negative,Negative feedback about blockchain technology.,The blockchain technology was awful based on the user's experience.
700,food,My experience with the Sushi was average.,neutral,Neutral feedback about Sushi.,The Sushi was average based on the user's experience.
701,entertainment,My experience with the Netflix series was terrible.,negative,Negative feedback about Netflix series.,The Netflix series was terrible based on the user's experience.
702,healthcare,My experience with the diet plan was hated it.,negative,Negative feedback about diet plan.,The diet plan was hated it based on the user's experience.
703,education,My experience with the university program was not worth it.,negative,Negative feedback about university program.,The university program was not worth it based on the user's experience.
704,food,My experience with the Vegan meal was awesome.,positive,Positive feedback about Vegan meal.,The Vegan meal was awesome based on the user's experience.
705,education,My experience with the textbook was awesome.,positive,Positive feedback about textbook.,The textbook was awesome based on the user's experience.
706,education,My experience with the coding bootcamp was hated it.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was hated it based on the user's experience.
707,entertainment,My experience with the Netflix series was enjoyed it.,positive,Positive feedback about Netflix series.,The Netflix series was enjoyed it based on the user's experience.
708,food,My experience with the Vegan meal was bad.,negative,Negative feedback about Vegan meal.,The Vegan meal was bad based on the user's experience.
709,entertainment,My experience with the video game was mediocre.,neutral,Neutral feedback about video game.,The video game was mediocre based on the user's experience.
710,entertainment,My experience with the Netflix series was okay.,neutral,Neutral feedback about Netflix series.,The Netflix series was okay based on the user's experience.
711,customer_service,My experience with the delivery service was annoying.,negative,Negative feedback about delivery service.,The delivery service was annoying based on the user's experience.
712,food,My experience with the Vegan meal was amazing.,positive,Positive feedback about Vegan meal.,The Vegan meal was amazing based on the user's experience.
713,healthcare,My experience with the telemedicine was average.,neutral,Neutral feedback about telemedicine.,The telemedicine was average based on the user's experience.
714,food,My experience with the Pizza was superb.,positive,Positive feedback about Pizza.,The Pizza was superb based on the user's experience.
715,technology,My experience with the iPhone 15 was awesome.,positive,Positive feedback about iPhone 15.,The iPhone 15 was awesome based on the user's experience.
716,healthcare,My experience with the fitness tracker was not bad.,neutral,Neutral feedback about fitness tracker.,The fitness tracker was not bad based on the user's experience.
717,healthcare,My experience with the hospital experience was boring.,negative,Negative feedback about hospital experience.,The hospital experience was boring based on the user's experience.
718,technology,My experience with the self-driving car was not worth it.,negative,Negative feedback about self-driving car.,The self-driving car was not worth it based on the user's experience.
719,customer_service,My experience with the hotel staff was fine.,neutral,Neutral feedback about hotel staff.,The hotel staff was fine based on the user's experience.
720,education,My experience with the MOOC was fantastic.,positive,Positive feedback about MOOC.,The MOOC was fantastic based on the user's experience.
721,technology,My experience with the AI chatbot was acceptable.,neutral,Neutral feedback about AI chatbot.,The AI chatbot was acceptable based on the user's experience.
722,entertainment,My experience with the new Marvel movie was boring.,negative,Negative feedback about new Marvel movie.,The new Marvel movie was boring based on the user's experience.
723,technology,My experience with the quantum computer was decent.,neutral,Neutral feedback about quantum computer.,The quantum computer was decent based on the user's experience.
724,technology,My experience with the iPhone 15 was okay.,neutral,Neutral feedback about iPhone 15.,The iPhone 15 was okay based on the user's experience.
725,education,My experience with the coding bootcamp was boring.,negative,Negative feedback about coding bootcamp.,The coding bootcamp was boring based on the user's experience.
726,food,My experience with the Vegan meal was awful.,negative,Negative feedback about Vegan meal.,The Vegan meal was awful based on the user's experience.
727,customer_service,My experience with the delivery service was satisfying.,positive,Positive feedback about delivery service.,The delivery service was satisfying based on the user's experience.
728,entertainment,My experience with the video game was fine.,neutral,Neutral feedback about video game.,The video game was fine based on the user's experience.
729,technology,My experience with the self-driving car was okay.,neutral,Neutral feedback about self-driving car.,The self-driving car was okay based on the user's experience.
730,food,My experience with the Pizza was amazing.,positive,Positive feedback about Pizza.,The Pizza was amazing based on the user's experience.
731,customer_service,My experience with the hotel staff was fine.,neutral,Neutral feedback about hotel staff.,The hotel staff was fine based on the user's experience.
732,education,My experience with the online course was not worth it.,negative,Negative feedback about online course.,The online course was not worth it based on the user's experience.
733,healthcare,My experience with the fitness tracker was enjoyed it.,positive,Positive feedback about fitness tracker.,The fitness tracker was enjoyed it based on the user's experience.
734,customer_service,My experience with the call center was mediocre.,neutral,Neutral feedback about call center.,The call center was mediocre based on the user's experience.
735,entertainment,My experience with the Netflix series was hated it.,negative,Negative feedback about Netflix series.,The Netflix series was hated it based on the user's experience.
736,healthcare,My experience with the diet plan was acceptable.,neutral,Neutral feedback about diet plan.,The diet plan was acceptable based on the user's experience.
737,healthcare,My experience with the medical app was bad.,negative,Negative feedback about medical app.,The medical app was bad based on the user's experience.
738,food,My experience with the Burger was mediocre.,neutral,Neutral feedback about Burger.,The Burger was mediocre based on the user's experience.
